Course Code,Course Title,Historical Consciousness,Aesthetic Exploration,Philosophical Inquiry and Life’s Meanings,Social Inquiry II,Social Inquiry I,Scientific Inquiry II,Scientific Inquiry I,Quantitative Reasoning II,Quantitative Reasoning I,Ethical Reasoning,Global Citizenship and Intercultural Literacy,The Individual in Community,Digital/Multimedia Expression,Oral and/or Signed Communication,Writing-Intensive Course,"Writing, Research, and Inquiry",First-Year Writing Seminar,Creativity / Innovation,Teamwork / Collaboration,Research and Information Literacy,Critical Thinking
KHC AH 102,"First Person, Singular: Representing the Self, Then and Insta-Now",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHC AN 103,Animals among Humans,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
KHC EH 103,Race in America: Understanding the Present by Exploring the Past,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHC FT 102,UnAmerican Cinema,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHC HC 301,Interdisciplinary Perspectives on Global Challenges I,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
KHC HI 102,The Culture of World War I,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHC HI 104,Urban Youth in the Middle East,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
KHC HI 107,Global History of a Movement,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
KHC MU 104,"Race, Gender, Music, and the Making of Latin America",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
KHC PO 100,Democracy & the Climate Crisis: Politics on a Changing Planet,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KHC PO 102,How to Change the World,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
KHC PO 104,War and Memory in the American Experience,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
KHC RH 102,A Nation Riven: Turbulence and Transformation in 1960s America and Today,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
KHC RN 103,Islam in the Eyes of the West,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
KHC XL 103,Problems in Propaganda and Persuasion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
QST OM 351,Supply Chain Risk and Sustainability,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
QST OM 451,Environmentally Sustainable Supply Chains,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
QST SI 340,Family Business Management,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
QST SI 352,Innovation & the Dynamics of Enterprise in America (IDEA),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
QST SI 480,The Business of Technology Innovation,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 454,"Social Determinants of Health - Sex, Sexual Orientation, and Gender",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAR HP 454S,"Social Determinants of Health - Sex, Sexual Orientation, and Gender",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHA HF 100,Introduction to Hospitality,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SHA HF 100E,Introduction to Hospitality,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SHA HF 100S,Introduction to Hospitality,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
SHA HF 365E,BRITISH TOURISM,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WED AP 555S,The History of Boston University,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CAS AA 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AA 132,Write Back Soon: Blackness and the Prison,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS AA 210,American Minstrelsy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS AA 215,Arts of Africa and Its Diaspora,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AA 294,Religion and Black Popular Music,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AA 294S,Religion and Black Popular Music,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AA 296,Religion and Hip Hop,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AA 411,"Race, Memory, and Diaspora in US Popular Music",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AA 430,Black American Cinema,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS AA 477,Critical Studies: Black Diaspora Theory and Practice,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS AA 630,Black American Cinema,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS AA 677,Critical Studies: Black Diaspora Theory and Practice,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS AH 113,Arts and Monuments of Asia,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAS AH 114,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AH 114S,"Kongo to Cuba: Art, Exchange, and Self-Determination in Africa and Latin America",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AH 215,Arts of Africa and Its Diaspora,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AH 220,Islamic Art and Architecture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AH 220S,Islamic Art and Architecture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AH 258E,The Spaces of Art: from Velazquez to the Private Gallery in Spain,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AH 308E,Switzerland: Art and Architecture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS AH 327,Arts of China,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AH 352,Venetian Renaissance Art,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AH 353,Italian Renaissance Architecture and Theory,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AH 354E,Italian Art and Architecture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS AH 364E,Art & Architecture Madrid,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AH 368,"Graffiti, Street Art, and Independent Interventions in Public Space in Madrid",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AH 368E,"Graffiti, Street Art, and Independent Interventions in Public Space in Madrid",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS AH 374E,Australian Art and Architecture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AH 399,History and Theory of Landscape Architecture,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AH 411E,"Writing, Art, & Society",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS AH 495,Seminar: Twentieth Century Art,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CAS AH 495S,Seminar: Critical Issues in Painting Since 1945,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CAS AH 507,"Digital Curation: Towards National Parks: Art and Nature, Nature and Nation",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS AH 727,Colloquium in Chinese Art,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS AN 308,"Food in Place(s): Identity, Location, and the Cultures of Taste",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 308S,"Food in Place(s): Identity, Location, and the Cultures of Taste",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 375,"Culture, Society, and Religion in South Asia",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 375E,CULT&SOCOFSASIA,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AN 708,"Food in Place(s): Identity, Location, and Cultures of Taste",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS AN 708S,"Food in Place(s): Identity, Location, and Cultures of Taste",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS AN 775,"Culture, Society, and Religion in South Asia",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS AR 240,Archaeology of Ancient China,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CC 101,Core Humanities I: Ancient Worlds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CAS CC 101S,The Ancient World,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CAS CC 201,"Core Humanities 3: Renaissance, Rediscovery, and Reformation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
CAS CG 357,Modern Greek Culture and Film,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS CG 357S,MODGRKCLTR&FILM,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS CG 359,Cavafy and History,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 128,Religion and Film,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS CI 200,Introduction to Film & Media Aesthetics,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS CI 200S,Introduction to Film & Media Aesthetics,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS CI 201,Literature and the Art of Film,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS CI 201S,Literature and the Art of Film,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS CI 255,"The Myth of the Family in Classic American Literature, Film, and Television",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CI 260,Modern Japanese Culture in Cinema (in English translation),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 260S,JPN CLT FILM ET,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 263,Philosophy and Film,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS CI 268,Religion and Film,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CAS CI 270,Israeli Culture through Film (in English translation),0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS CI 319,Disability and Queerness in Speculative Fiction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS CI 321,Introduction to Brazilian Cinema,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 325,Tradition and Modernity in Iranian Film and Literature,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS CI 325S,Tradition and Modernity in Iranian Film and Literature,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CAS CI 330,Film Genres & Movements,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS CI 352,Auteur Filmmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS CI 363,Screening Modern China (in English Translation),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 363S,Screening Modern China (in English translation),0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 365,Modern Korean Culture through Cinema (in English translation),0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS CI 367,Studies in Non-Cinematic Media,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS CI 378,Modern Greek Culture and Film,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS CI 378S,Modern Greek Culture and Film,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS CI 380,Gender and Identity in Contemporary Middle Eastern Film,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS CI 381,Modern India through Bollywood,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CAS CI 395,"Inhuman Films: Genders, Animals, Machines",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CAS CI 430,Black American Cinema,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS CI 480,Modern Chinese Literature & Film,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS CI 482,Cinema-Monde: Mapping French Film,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS CI 551,Studies in Auteur Filmmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS CL 212,Latin 4: Verse,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 212S,Latin 4: Verse,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 224,Greek Drama in Translation,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CAS CL 224S,GREEK DRAMA,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
CAS CL 230,The Golden Age of Latin Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS CL 249,Classics in Popular Culture,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS CL 262,Greek 4: Homer,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 262S,Greek 4: Homer,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS CL 302,The Age of Augustus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS CL 305,Topics in Myth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS CL 305S,Topics in Myth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS CL 310,The Classical Tradition in Modern Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS CL 359,Cavafy and History,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS EE 230,Environmental Humanities and Society,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CAS EN 101,Encounters: Reading across Time and Space,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CAS EN 121,Reading World Literature,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS EN 121S,READ WLD LIT I,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS EN 125,Reading Modern Literature,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 125S,Reading Modern Literature,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 126,Jewish Literature,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS EN 127,Reading American Literature,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 127S,Readings in American Literature,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 130,Science/Fiction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 130S,Science/Fiction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 132,Write Back Soon: Blackness and the Prison,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS EN 141,Introduction to Fiction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 141S,Introduction to Fiction,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 142,Introduction to Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAS EN 142S,Literary Types: Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CAS EN 145,Introduction to Performance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 145E,Introduction to Performance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 145S,Introduction to Performance,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 150,"Children's Literature: Fairy Tales, Fantasy, and Imaginary Spaces",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 150S,"Children's Literature: Fairy Tales, Fantasy, and Imaginary Spaces",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 155,"The Myth of the Family in Classical American Literature, Film, and Television",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 160,"Big Novels, Big Ideas",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EN 170,The Graphic Novel,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS EN 170S,The Graphic Novel,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS EN 175,Literature and the Art of Film,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS EN 175S,Literature and the Art of Film,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CAS EN 176,Introduction to Film & Media Aesthetics,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS EN 176S,Introduction to Film & Media Aesthetics,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CAS EN 177,Introduction to Asian-American Literature,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CAS EN 178,Introduction to Latinx Literature,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CAS EN 180,Post-Apocalyptic Narratives,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 195,Literature and Ideas,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EN 201,Introduction to Literary Studies,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS EN 201S,INTMEDIATE COMP,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS EN 202,Introduction to Creative Writing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 202S,Introduction to Creative Writing,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 221,Major Authors,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS EN 221S,Major Authors I,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS EN 230,Environmental Humanities and Society,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
CAS EN 304,Writing of Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 304S,Writing of Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 306,Introduction to Playwriting,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 310E,Introduction to Modern British Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 326,Arts of Gender,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 326E,ARTS OF GENDER,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 327,Topics in American Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 328,Women's Literary Cultures,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 329,Film Genres & Movements,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS EN 331,Topics in Nineteenth-Century British Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 340E,WRITING LONDON,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CAS EN 343,Modern Irish Writers,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 347,Topics in Contemporary Global Fiction,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS EN 349,Contemporary American Fiction,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 356,"Drama and Performance, 1945 - Present",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CAS EN 357,Modern British Drama: A Critic's Perspective,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS EN 357E,Modern British Drama,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
CAS EN 365,Studies in Non-Cinematic Media,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS EN 369,Haruki Murakami and His Sources,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS EN 379,American Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CAS EN 383E,Writing in Australia,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 385,Auteur Filmmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 387E,AMER WRIT PARIS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 392E,MOD IRISH LIT,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
CAS EN 394,Cultures of Science,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 397,Black American Cinema,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CAS EN 398,Global Shakespeares,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CAS EN 403,Advanced Writing of Poetry,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 404,History of Literary Criticism I,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 405,Advanced Writing of Fiction,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 437,Thinking with Animals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 471,Critical Studies in American Literary Movements,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CAS EN 477,Critical Studies: Black Diaspora Theory and Practice,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS EN 482,Critical Studies in Modern Literature,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 490,"The Gothic, Identity, and the Human",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EN 493,Critical Studies in Literature and The Arts,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 497,Critical Studies in Literature and Philosophy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS EN 500,Henry James and New Media,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CAS EN 510,Playwriting 1: Writing of Short Plays,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 517,Drama in Theory and Practice 1: Structure and the Script,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 519,Drama in Theory and Practice 2: Experiments with Character and Form,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 520,Drama in Theory and Practice 3: Adaptation and the Theatre,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
CAS EN 548,Joyce and After,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CAS EN 562,Studies in Asexualities,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CAS EN 564,Studies in Auteur Filmmaking,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS EN 582,Studies in Modern Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS EN 582S,Studies in Modern Literature,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
CAS EN 604,History of Literary Criticism 1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 637,Thinking with Animals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 677,Critical Studies: Black Diaspora Theory and Practice,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CAS EN 682,Critical Studies in Modern Literature,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAS EN 693,Critical Studies in Literature and the Arts,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CAS EN 697,Critical Studies in Literature and Philosophy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CAS HI 226,Cities and Cultures,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
